Date,Open,High,Low,Close,Volume
10/18/2024,"581.10","583.97","575.25","576.47","7,694,274"
10/17/2024,"583.33","584.97","575.20","576.93","8,701,158"
10/16/2024,"581.40","582.08","574.03","576.79","11,268,380"
10/15/2024,"590.16","590.61","580.14","586.27","9,564,236"
10/14/2024,"594.22","600.10","589.96","590.42","8,251,971"
10/11/2024,"584.83","591.21","582.71","589.95","8,587,051"
10/10/2024,"587.57","590.23","582.52","583.83","7,740,449"
10/09/2024,"593.99","594.39","581.61","590.51","9,529,707"
10/08/2024,"589.69","593.56","585.97","592.89","7,857,377"
10/07/2024,"598.22","602.95","584.04","584.78","12,014,200"
10/04/2024,"583.73","596.85","581.43","595.94","14,199,790"
10/03/2024,"570.15","583.36","568.73","582.77","11,580,980"
10/02/2024,"574.86","576.00","569.34","572.81","6,524,650"
10/01/2024,"577.98","583.04","570.10","576.47","15,259,270"
09/30/2024,"567.70","574.68","564.80","572.44","12,807,210"
09/27/2024,"570.10","570.84","564.51","567.36","9,398,367"
09/26/2024,"575.73","577.40","562.35","567.84","14,400,790"
09/25/2024,"564.05","576.88","563.72","568.31","16,543,350"
09/24/2024,"566.68","567.75","554.19","563.33","12,992,960"
09/23/2024,"569.50","573.98","562.41","564.41","12,830,670"
09/20/2024,"560.00","564.50","556.30","561.35","22,066,820"
09/19/2024,"550.00","562.07","546.52","559.10","15,646,950"
09/18/2024,"537.07","544.20","533.90","537.95","10,323,540"
09/17/2024,"537.60","542.10","530.57","536.32","11,690,780"
09/16/2024,"524.54","534.10","517.40","533.28","9,527,646"
09/13/2024,"520.34","527.58","517.11","524.62","10,321,420"
09/12/2024,"517.05","526.71","515.22","525.60","11,993,340"
09/11/2024,"507.01","513.12","495.60","511.83","10,782,530"
09/10/2024,"508.16","514.18","500.03","504.79","9,899,022"
09/09/2024,"506.16","511.33","502.08","504.79","11,047,830"
09/06/2024,"521.88","524.58","498.25","500.27","14,744,520"
09/05/2024,"511.72","521.63","511.15","516.86","8,640,888"
09/04/2024,"506.07","516.59","504.07","512.74","8,335,207"
09/03/2024,"519.64","525.49","508.62","511.76","12,448,000"
08/30/2024,"521.35","523.54","515.20","521.31","9,157,541"
08/29/2024,"519.05","527.20","515.68","518.22","8,317,424"
08/28/2024,"517.68","521.09","512.45","516.78","9,106,077"
08/27/2024,"518.98","524.01","515.31","519.10","6,282,720"
08/26/2024,"527.60","528.00","514.95","521.12","9,584,002"
08/23/2024,"536.92","539.87","525.06","528.00","11,323,940"
08/22/2024,"537.00","544.23","528.59","531.93","15,708,290"
08/21/2024,"527.15","539.40","526.94","535.16","13,423,290"
08/20/2024,"528.35","531.09","525.88","526.73","7,944,391"
08/19/2024,"526.87","531.66","522.76","529.28","9,879,713"
08/16/2024,"531.90","533.66","524.66","527.42","14,776,680"
08/15/2024,"531.79","539.77","526.70","537.33","13,482,140"
08/14/2024,"528.06","534.00","523.13","526.76","11,444,190"
08/13/2024,"520.01","531.50","518.15","528.54","13,743,840"
08/12/2024,"516.86","518.02","509.10","515.95","9,767,422"
08/09/2024,"507.71","518.34","505.70","517.77","13,696,640"
08/08/2024,"497.50","509.96","494.72","509.63","16,156,840"
08/07/2024,"503.13","510.15","486.86","488.92","20,105,311"
08/06/2024,"479.00","502.56","478.65","494.09","20,954,961"
08/05/2024,"451.35","483.48","450.80","475.73","21,396,189"
08/02/2024,"489.00","501.15","476.15","488.14","24,044,660"
08/01/2024,"521.00","527.17","492.10","497.74","43,083,078"
07/31/2024,"471.02","476.50","466.75","474.83","24,285,779"
07/30/2024,"467.00","472.73","456.70","463.19","11,390,440"
07/29/2024,"469.88","473.96","465.02","465.71","11,339,630"
07/26/2024,"464.20","469.77","459.42","465.70","14,222,390"
07/25/2024,"463.26","463.55","442.65","453.41","18,240,490"
07/24/2024,"472.31","476.30","460.58","461.27","17,649,740"
07/23/2024,"489.84","495.22","487.72","488.69","9,455,527"
07/22/2024,"486.58","492.06","483.90","487.40","12,023,090"
07/19/2024,"476.06","486.71","475.71","476.79","15,149,420"
07/18/2024,"475.00","479.24","464.54","475.85","19,267,160"
07/17/2024,"479.17","479.17","459.12","461.99","28,076,600"
07/16/2024,"501.50","503.95","485.79","489.79","14,075,830"
07/15/2024,"498.63","506.68","493.37","496.16","12,539,160"
07/12/2024,"497.76","508.09","494.23","498.87","19,750,539"
07/11/2024,"530.89","535.46","508.37","512.70","16,458,250"
07/10/2024,"530.79","538.88","528.36","534.69","10,983,280"
07/09/2024,"533.75","537.48","528.19","530.00","8,769,088"
07/08/2024,"542.35","542.81","526.65","529.32","14,917,500"
07/05/2024,"511.60","540.87","511.60","539.91","21,354,090"
07/03/2024,"506.37","511.28","506.02","509.96","6,005,615"
07/02/2024,"500.76","510.50","499.45","509.50","7,739,479"
07/01/2024,"504.95","506.58","493.17","504.68","10,328,150"
06/28/2024,"517.15","521.88","503.84","504.22","15,855,140"
06/27/2024,"514.25","522.88","513.90","519.56","10,121,200"
06/26/2024,"506.65","513.81","504.68","513.12","8,882,337"
06/25/2024,"497.05","510.71","495.50","510.60","12,109,770"
06/24/2024,"499.20","507.80","494.29","498.91","13,525,280"
06/21/2024,"503.45","503.45","492.39","494.78","23,130,730"
06/20/2024,"502.00","503.67","496.77","501.70","11,801,180"
06/18/2024,"504.56","506.00","495.02","499.49","13,060,430"
06/17/2024,"501.67","510.75","496.01","506.63","11,266,600"
06/14/2024,"502.65","507.15","500.75","504.16","10,243,350"
06/13/2024,"505.71","509.36","501.36","504.10","9,954,621"
06/12/2024,"513.99","514.01","504.47","508.84","11,983,230"
06/11/2024,"500.16","507.60","498.27","507.47","9,673,715"
06/10/2024,"493.86","502.66","493.41","502.60","11,236,920"
06/07/2024,"495.91","498.91","490.17","492.96","9,380,745"
06/06/2024,"492.98","502.82","490.89","493.76","10,667,340"
06/05/2024,"484.45","496.65","483.91","495.06","15,690,480"
06/04/2024,"477.00","478.89","473.23","476.99","7,088,718"
06/03/2024,"470.86","479.60","468.24","477.49","11,279,390"
05/31/2024,"465.80","469.12","454.46","466.83","16,919,811"
05/30/2024,"471.67","471.73","464.71","467.05","10,735,230"
05/29/2024,"474.66","479.85","473.70","474.36","9,226,218"
05/28/2024,"476.58","480.86","474.84","479.92","10,175,770"
05/24/2024,"467.62","479.85","466.30","478.22","12,024,250"
05/23/2024,"472.88","474.36","461.54","465.78","11,747,910"
05/22/2024,"467.87","473.72","465.65","467.78","10,078,610"
05/21/2024,"467.12","470.70","462.27","464.63","11,742,190"
05/20/2024,"469.95","473.20","467.04","468.84","11,745,080"
05/17/2024,"470.83","472.80","468.42","471.91","10,807,290"
05/16/2024,"475.00","477.69","472.75","473.23","16,608,180"
05/15/2024,"474.98","482.50","471.20","481.54","13,100,470"
05/14/2024,"463.37","472.54","460.08","471.85","10,478,550"
05/13/2024,"472.75","473.35","462.85","468.01","14,668,800"
05/10/2024,"477.09","477.50","469.60","476.20","10,750,000"
05/09/2024,"470.00","476.08","467.63","475.42","9,437,651"
05/08/2024,"463.50","475.58","463.00","472.60","11,683,930"
05/07/2024,"466.29","471.53","461.31","468.24","13,406,820"
05/06/2024,"455.58","466.16","453.34","465.68","15,094,630"
05/03/2024,"445.93","454.17","443.85","451.96","16,489,061"
05/02/2024,"438.84","443.96","432.28","441.68","15,221,320"
05/01/2024,"428.60","449.96","427.11","439.19","20,344,949"
04/30/2024,"431.05","439.62","429.72","430.17","18,429,500"
04/29/2024,"439.56","439.76","428.56","432.62","21,502,650"
04/26/2024,"441.46","446.44","431.96","443.29","32,691,439"
04/25/2024,"421.40","445.77","414.50","441.38","82,890,734"
04/24/2024,"508.06","510.00","484.58","493.50","37,772,680"
04/23/2024,"491.25","498.76","488.97","496.10","15,079,200"
04/22/2024,"489.72","492.01","473.40","481.73","17,271,131"
04/19/2024,"502.80","502.80","475.73","481.07","25,215,359"
04/18/2024,"499.82","512.21","499.04","501.80","14,808,670"
04/17/2024,"503.10","503.16","487.14","494.17","12,193,740"
04/16/2024,"498.11","504.77","497.11","499.76","9,847,925"
04/15/2024,"516.72","518.53","497.28","500.23","13,512,890"
04/12/2024,"517.75","520.19","509.33","511.90","11,984,540"
04/11/2024,"521.11","523.86","517.29","523.16","10,369,470"
04/10/2024,"509.29","522.56","505.80","519.83","11,418,490"
04/09/2024,"522.23","525.87","506.74","516.90","10,881,450"
04/08/2024,"529.28","531.49","518.89","519.25","13,260,580"
04/05/2024,"516.86","530.70","514.41","527.34","19,263,270"
04/04/2024,"516.42","530.00","510.58","510.92","26,476,250"
04/03/2024,"498.93","507.24","498.75","506.74","12,099,170"
04/02/2024,"485.10","497.53","484.65","497.37","11,081,030"
04/01/2024,"487.20","497.43","481.78","491.35","9,247,007"
03/28/2024,"492.84","492.89","485.15","485.58","15,212,760"
03/27/2024,"499.30","499.89","488.07","493.86","9,989,676"
03/26/2024,"505.13","510.00","495.21","495.89","11,205,380"
03/25/2024,"505.79","507.22","500.24","503.02","8,380,617"
03/22/2024,"507.00","509.97","504.34","509.58","8,120,593"
03/21/2024,"514.71","515.04","506.01","507.76","9,712,549"
03/20/2024,"499.50","508.20","495.17","505.52","11,711,100"
03/19/2024,"488.17","496.63","481.28","496.24","10,903,090"
03/18/2024,"491.91","497.42","486.81","496.98","11,755,250"
03/15/2024,"489.01","491.83","481.30","484.10","29,153,580"
03/14/2024,"500.26","501.35","488.16","491.83","12,620,010"
03/13/2024,"495.39","500.98","491.03","495.57","12,090,660"
03/12/2024,"493.26","502.31","484.73","499.75","15,448,230"
03/11/2024,"497.01","497.32","476.00","483.59","20,428,270"
03/08/2024,"514.19","523.57","499.35","505.95","18,597,061"
03/07/2024,"503.28","519.85","501.38","512.19","18,586,439"
03/06/2024,"497.63","502.97","494.29","496.09","11,757,930"
03/05/2024,"495.00","495.58","487.89","490.22","15,325,300"
03/04/2024,"503.00","504.42","496.42","498.19","12,324,140"
03/01/2024,"492.11","504.25","491.85","502.30","15,884,880"
02/29/2024,"488.44","491.70","482.61","490.13","17,732,051"
02/28/2024,"485.00","491.05","482.75","484.02","12,715,490"
02/27/2024,"479.98","487.27","479.92","487.05","10,809,600"
02/26/2024,"483.47","486.14","480.60","481.74","12,101,420"
02/23/2024,"488.05","494.36","482.35","484.03","18,374,289"
02/22/2024,"480.24","489.99","476.06","486.13","21,625,811"
02/21/2024,"466.50","469.00","461.79","468.03","12,977,050"
02/20/2024,"469.72","476.18","466.56","471.75","18,015,520"
02/16/2024,"478.11","478.96","469.21","473.32","23,324,619"
02/15/2024,"475.28","488.62","472.22","484.03","24,212,330"
02/14/2024,"467.93","474.11","466.09","473.28","16,858,400"
02/13/2024,"456.87","467.89","455.09","460.12","20,916,600"
02/12/2024,"468.19","479.15","466.58","468.90","19,381,961"
02/09/2024,"472.95","473.59","467.47","468.11","18,413,141"
02/08/2024,"468.32","470.59","465.03","470.00","18,815,100"
02/07/2024,"458.00","471.52","456.18","469.59","23,065,990"
02/06/2024,"464.00","467.12","453.00","454.72","21,655,211"
02/05/2024,"469.88","471.90","459.22","459.41","40,832,379"
02/02/2024,"459.60","485.96","453.01","474.99","84,707,648"
02/01/2024,"393.94","400.50","393.05","394.78","29,727,051"
01/31/2024,"389.00","398.00","387.10","390.14","20,180,820"
01/30/2024,"403.59","406.36","399.57","400.06","18,614,730"
01/29/2024,"394.99","402.93","393.10","401.02","18,742,430"
01/26/2024,"394.35","396.79","391.59","394.14","13,159,290"
01/25/2024,"390.17","395.49","385.66","393.18","15,091,080"
01/24/2024,"390.00","396.15","387.81","390.70","15,604,290"
01/23/2024,"384.62","388.38","382.08","385.20","15,506,100"
01/22/2024,"387.95","390.35","381.16","381.78","17,680,449"
01/19/2024,"379.00","384.36","377.97","383.45","21,670,811"
