Date,Open,High,Low,Close,Volume
10/29/2024,"194.39","198.79","193.60","196.94","13,779,110"
10/28/2024,"199.26","199.74","194.52","194.68","20,135,350"
10/25/2024,"200.25","205.20","200.00","203.44","13,434,860"
10/24/2024,"198.96","200.50","197.41","197.93","9,935,780"
10/23/2024,"196.68","203.13","196.23","200.86","16,535,699"
10/22/2024,"199.07","200.17","197.11","198.48","11,165,070"
10/21/2024,"200.81","203.44","199.66","201.95","14,819,950"
10/18/2024,"205.95","205.95","200.76","200.78","21,030,820"
10/17/2024,"203.35","212.60","201.97","205.84","62,274,672"
10/16/2024,"189.78","190.01","186.66","187.48","18,689,221"
10/15/2024,"192.96","193.62","184.25","187.13","21,812,670"
10/14/2024,"190.61","194.25","190.50","192.21","11,714,390"
10/11/2024,"188.17","191.49","188.01","190.81","12,163,860"
10/10/2024,"185.86","187.08","184.40","185.78","6,443,849"
10/09/2024,"187.80","188.00","182.26","187.14","11,925,010"
10/08/2024,"184.96","186.54","182.03","186.05","10,394,170"
10/07/2024,"181.60","185.00","180.93","184.51","12,054,160"
10/04/2024,"179.70","181.23","177.55","181.16","10,001,900"
10/03/2024,"175.80","180.79","175.12","179.48","12,555,030"
10/02/2024,"172.96","176.97","170.79","175.80","11,164,370"
10/01/2024,"175.31","175.99","170.78","172.07","11,850,170"
09/30/2024,"174.27","176.82","171.93","173.67","13,561,650"
09/27/2024,"185.84","185.94","177.40","177.97","17,908,400"
09/26/2024,"188.50","189.33","183.80","186.83","15,103,400"
09/25/2024,"181.52","183.82","181.21","182.35","8,280,927"
09/24/2024,"179.50","182.78","177.05","181.97","14,576,110"
09/23/2024,"174.84","175.40","173.70","174.76","5,794,249"
09/20/2024,"174.87","176.02","173.65","174.08","18,429,779"
09/19/2024,"174.38","177.78","172.63","176.22","15,855,050"
09/18/2024,"168.46","171.60","167.00","167.28","9,115,969"
09/17/2024,"169.35","170.24","166.36","167.35","8,582,819"
09/16/2024,"169.91","170.56","166.77","169.08","12,194,260"
09/13/2024,"172.24","174.77","171.45","172.50","8,787,842"
09/12/2024,"170.60","172.15","169.00","171.43","13,415,500"
09/11/2024,"163.80","170.38","161.42","170.23","15,059,550"
09/10/2024,"162.89","162.89","157.69","162.43","11,910,830"
09/09/2024,"160.76","163.10","160.25","162.78","10,339,020"
09/06/2024,"164.89","165.41","156.01","156.82","14,964,410"
09/05/2024,"161.54","164.59","161.05","163.70","10,260,580"
09/04/2024,"159.30","163.88","158.95","160.87","11,317,390"
09/03/2024,"168.00","168.68","159.80","160.49","18,448,900"
08/30/2024,"170.06","172.23","168.75","171.70","9,481,403"
08/29/2024,"168.65","175.42","167.51","169.15","13,213,190"
08/28/2024,"171.32","172.47","166.20","169.20","10,581,370"
08/27/2024,"166.42","170.58","165.04","170.55","9,186,041"
08/26/2024,"170.38","171.05","167.82","169.07","9,611,328"
08/23/2024,"169.00","173.29","167.92","171.28","12,189,130"
08/22/2024,"172.00","173.28","166.06","166.44","13,546,120"
08/21/2024,"170.36","173.08","169.91","171.44","9,434,811"
