Date,Open,High,Low,Close,Volume
10/18/2024,"289.92","291.04","288.08","290.62","5,350,923"
10/17/2024,"288.57","290.93","287.61","290.39","8,815,841"
10/16/2024,"278.62","287.60","278.35","287.52","9,442,687"
10/15/2024,"281.00","282.64","278.83","279.29","5,807,021"
10/14/2024,"279.08","281.37","277.99","280.68","3,996,620"
10/11/2024,"276.04","278.80","275.37","277.84","4,746,446"
10/10/2024,"276.78","277.67","275.35","277.47","4,063,891"
10/09/2024,"275.00","277.49","274.42","276.93","4,115,807"
10/08/2024,"274.71","276.10","274.01","274.96","4,370,915"
10/07/2024,"277.60","277.62","273.24","273.79","4,339,337"
10/04/2024,"277.35","278.44","275.10","277.93","4,260,920"
10/03/2024,"276.67","277.69","275.84","276.86","3,036,651"
10/02/2024,"276.57","277.64","275.37","277.00","4,741,561"
10/01/2024,"276.97","279.06","274.36","277.60","5,781,564"
09/30/2024,"275.00","275.69","273.20","274.95","5,971,352"
09/27/2024,"273.16","277.98","272.78","275.17","6,509,578"
09/26/2024,"270.50","273.24","270.00","271.69","9,552,507"
09/25/2024,"274.19","274.25","268.23","269.63","11,671,270"
09/24/2024,"280.18","281.00","272.71","272.78","13,690,160"
09/23/2024,"284.90","288.88","284.62","288.63","6,505,632"
09/20/2024,"285.50","287.00","283.25","284.77","27,810,930"
09/19/2024,"291.09","291.48","282.87","285.24","10,382,070"
09/18/2024,"291.84","292.02","288.13","288.48","5,889,996"
09/17/2024,"290.90","293.07","290.09","291.56","5,135,913"
09/16/2024,"288.05","290.90","287.74","290.48","4,458,865"
09/13/2024,"286.49","288.74","285.55","287.35","4,987,643"
09/12/2024,"284.00","286.00","281.47","285.37","4,161,170"
09/11/2024,"285.02","285.17","278.30","283.96","6,281,968"
09/10/2024,"285.93","286.40","283.57","285.34","5,314,413"
09/09/2024,"282.09","286.97","281.65","285.61","10,933,860"
09/06/2024,"277.77","280.28","277.43","279.37","7,187,805"
09/05/2024,"281.00","281.50","277.41","278.62","6,447,539"
09/04/2024,"278.71","281.65","278.70","280.49","6,107,450"
09/03/2024,"276.37","282.09","276.37","278.54","7,277,700"
08/30/2024,"275.00","276.99","274.26","276.37","6,296,089"
08/29/2024,"270.98","275.99","270.45","274.32","5,565,085"
08/28/2024,"271.16","271.98","267.67","269.19","5,455,098"
08/27/2024,"268.52","270.95","267.89","270.72","6,594,067"
08/26/2024,"267.72","270.37","267.67","268.21","4,612,181"
08/23/2024,"268.70","269.21","265.31","267.44","3,697,448"
08/22/2024,"268.94","269.50","266.57","267.94","4,425,444"
08/21/2024,"268.56","269.27","267.39","268.20","6,639,748"
08/20/2024,"267.00","268.04","265.78","268.04","6,803,575"
08/19/2024,"267.42","268.31","265.23","266.47","6,555,945"
